133.8701 7.1519 6.0276 5.4488 4.2365 6.4589 4.3759 8.9177 9.6366 3.8344
7.9173 86.4462 5.6804 9.2560 0.7104 0.8713 0.2022 8.3262 7.7816 8.7001
9.7862 7.9916 136.9297 7.8053 1.1827 6.3992 1.4335 9.4467 5.2185 4.1466
2.6456 7.7423 4.5615 156.0785 0.1879 6.1764 6.1210 6.1693 9.4375 6.8182
3.5951 4.3703 6.9763 0.6023 67.3101 6.7064 2.1038 1.2893 3.1543 3.6371
5.7020 4.3860 9.8837 1.0204 2.0888 106.8680 6.5311 2.5329 4.6631 2.4443
1.5897 1.1038 6.5633 1.3818 1.9658 3.6873 95.8073 0.9710 8.3794 0.9610
9.7646 4.6865 9.7676 6.0485 7.3926 0.3919 2.8281 112.2536 2.9614 1.1873
3.1798 4.1426 0.6415 6.9247 5.6660 2.6539 5.2325 0.9394 70.9816 9.2930
3.1857 6.6741 1.3180 7.1633 2.8941 1.8319 5.8651 0.2011 8.2894 142.6975
44.7125 84.6409 69.9479 29.7437 81.3798 39.6506 88.1103 58.1273 88.1735 69.2532
